Array_Size,Radix_2_DIT_Serial,Thread_2,Thread_3,Thread_4,Thread_6,Thread_7,Thread_8
2,0.000006,0.000480,0.000216,0.000243,0.000201,0.000240,0.000294
4,0.000001,0.000121,0.000192,0.000164,0.000163,0.000210,0.000224
8,0.000002,0.000161,0.000124,0.000218,0.000181,0.000212,0.000238
16,0.000004,0.000115,0.000124,0.000170,0.000169,0.000240,0.000264
32,0.000009,0.000134,0.000141,0.000183,0.000199,0.000232,0.000290
64,0.000021,0.000141,0.000230,0.000199,0.000214,0.000247,0.000294
128,0.000050,0.000199,0.000285,0.000219,0.000233,0.000253,0.000304
256,0.000110,0.000301,0.000280,0.000274,0.000313,0.000316,0.000362
512,0.000250,0.000550,0.000439,0.000399,0.000374,0.000411,0.000405
1024,0.000555,0.001024,0.000776,0.000636,0.000575,0.000589,0.000679
2048,0.001223,0.002134,0.001520,0.001183,0.001009,0.001052,0.001094
4096,0.002658,0.004309,0.002936,0.002289,0.002034,0.001853,0.002143
