Array_Size,Radix_2_DIT_Serial,Thread_2,Thread_3,Thread_4,Thread_5,Thread_6,Thread_7,Thread_8
2,0.001503,0.000629,0.000374,0.000797,0.000590,0.000510,0.000523,0.000552
4,0.000002,0.000138,0.000430,0.000188,0.000405,0.000358,0.000591,0.000352
8,0.000002,0.000251,0.000197,0.000426,0.000456,0.000305,0.000307,0.000205
16,0.000005,0.000235,0.000129,0.000267,0.000310,0.000162,0.000175,0.000219
32,0.000022,0.000412,0.000323,0.000136,0.000162,0.000179,0.000205,0.000188
64,0.000026,0.000149,0.000172,0.000212,0.000178,0.000230,0.000187,0.000193
128,0.000074,0.000188,0.000165,0.000141,0.000185,0.000181,0.000178,0.000212
256,0.000158,0.000441,0.000144,0.000154,0.000190,0.000193,0.000221,0.000242
512,0.000318,0.000302,0.000253,0.000208,0.000204,0.000214,0.000238,0.000272
1024,0.000704,0.000494,0.000379,0.000311,0.000300,0.000314,0.000320,0.000309
2048,0.001450,0.000925,0.000680,0.000591,0.000617,0.000460,0.000451,0.000427
4096,0.003171,0.001860,0.001321,0.001038,0.000891,0.000849,0.000747,0.000767
8192,0.006806,0.003793,0.002642,0.002156,0.001740,0.001618,0.001317,0.001277
16384,0.014671,0.008187,0.005637,0.004388,0.003671,0.003106,0.002863,0.002342
32768,0.031397,0.017123,0.012078,0.009402,0.007591,0.006557,0.005549,0.004941
65536,0.067072,0.036058,0.024964,0.019803,0.015364,0.013692,0.011488,0.010680
131072,0.142721,0.073250,0.050854,0.041109,0.032438,0.027448,0.023993,0.023439
262144,0.302845,0.155325,0.106579,0.091965,0.067980,0.057253,0.053031,0.045570
524288,0.638003,0.324781,0.249324,0.187748,0.147895,0.126613,0.105679,0.099396
1048576,1.343451,0.692544,0.498039,0.388683,0.309284,0.263756,0.224520,0.207291
2097152,2.836067,1.504096,1.046903,0.840473,0.658184,0.565332,0.484803,0.431748
4194304,6.191166,3.259077,2.285156,1.753229,1.421244,1.188138,1.031805,0.889483
8388608,12.947091,6.782546,4.781020,3.665662,2.965267,2.476694,2.131116,1.861194
16777216,26.997346,14.120714,9.996215,7.575151,6.142165,5.108106,4.465571,3.878670
33554432,56.178047,29.432224,20.619672,15.694305,12.724733,10.552083,9.227222,8.073520
67108864,116.692836,61.100667,42.650660,32.492441,26.146029,21.766198,18.930207,16.627728
134217728,242.241143,126.881722,88.353913,66.983891,54.088805,45.028991,39.008123,34.595387
268435456,502.356537,262.634091,183.033285,139.251411,112.081571,93.789153,79.881587,71.435620
